area_code,year,car_ownership_density
ITE3,2024,3051.1251667312076
ITE31,2024,2950.6804143418676
ITE32,2024,2908.9277867291635
ITC48,2024,2849.4038037787745
ITD34,2024,2936.165082966955
ITD52,2024,2753.524715474775
ITC16,2024,3102.6986668198233
ITC17,2024,3276.4129070682575
ITF6,2024,3264.7517129988687
ITD59,2024,2818.4967560288896
ITD54,2024,2845.048789818373
ITD5,2024,2836.732139932312
ITD51,2024,2850.926129292042
ITG15,2024,3198.4290952407546
ITG1,2024,3236.02494211842
ITF63,2024,3191.547226232213
ITF64,2024,3267.9481372438004
ITD32,2024,2907.409013802144
ITD33,2024,2919.5337587055337
ITC49,2024,2633.165380217267
ITC4A,2024,2749.6990440221884
ITE21,2024,3414.1927279191564
ITC42,2024,2938.610401639114
ITF12,2024,3206.752147821958
ITF3,2024,2862.0517450012485
ITF31,2024,2948.1275676189116
ITF14,2024,3258.0210850253043
ITD42,2024,3149.7269480331147
ITC1,2024,3107.307091865347
ITC11,2024,3070.092578398632
ITC13,2024,3471.2346993081424
ITC14,2024,3087.3910089457595
ITC15,2024,2971.5046667295182
ITF65,2024,3277.189424985729
ITD53,2024,3221.2697951474647
ITF2,2024,3310.520082157689
ITF21,2024,3661.8909607918195
ITE34,2024,3225.227963525836
ITF,2024,2983.2168456678583
ITF1,2024,3164.1251057794098
ITF11,2024,3312.1078906191788
ITC46,2024,2654.919516144395
ITC47,2024,2773.476278802445
ITE45,2024,3531.714942002878
ITE41,2024,3364.1314315542954
ITE42,2024,3202.820534387529
ITF13,2024,2876.9764216366157
ITG11,2024,3287.251262571762
ITG12,2024,2988.5611213407988
ITG13,2024,3224.008407901651
ITD35,2024,2557.728539619762
ITD36,2024,2832.610581092801
ITE33,2024,3180.0076436366726
ITC4,2024,2635.0187960059307
ITC41,2024,2987.628825619293
IT111,2024,2861.929376595877
ITC,2024,2785.0709908844556
ITG19,2024,3160.556100973854
IT108,2024,2830.925001321499
ITG16,2024,3287.79190067987
ITG28,2024,2943.2954389809615
ITG17,2024,3491.122878369944
ITG27,2024,2877.814108326501
ITG18,2024,3108.2736947738135
ITD43,2024,2838.901965579433
