area_code,year,pm10_annual_avg
ITF34,2015,42.0
ITF34,2016,33.0
ITF34,2017,30.0
ITF34,2018,35.0
ITF34,2019,24.0
ITF34,2020,37.0
ITF34,2021,30.0
ITF34,2022,28.0
ITF34,2023,26.0
ITF35,2013,59.0
ITF35,2014,29.0
ITF35,2015,55.0
ITF35,2016,49.0
ITF35,2017,32.0
ITF35,2018,31.0
ITF35,2019,31.0
ITF35,2020,26.0
ITF35,2021,31.0
ITF35,2022,20.0
ITF35,2023,20.0
ITF4,2013,4.0
ITF4,2014,5.0
ITF4,2015,6.0
ITF4,2016,7.0
ITF4,2017,6.0
ITF4,2018,6.0
ITF4,2019,6.0
ITF4,2020,6.0
ITF4,2021,7.0
ITF4,2022,6.0
ITF4,2023,6.0
ITF41,2013,21.0
ITF41,2014,22.0
ITF41,2015,27.0
ITF41,2016,23.0
ITF41,2017,22.0
ITF41,2018,16.0
ITF41,2019,18.0
ITF41,2020,16.0
ITF41,2021,21.0
ITF41,2022,21.0
ITF41,2023,55.0
ITF42,2013,27.0
ITF42,2014,32.0
ITF42,2015,29.0
ITF42,2016,26.0
ITF42,2017,27.0
ITF42,2018,27.0
ITF42,2019,26.0
ITF42,2020,24.0
ITF42,2021,24.0
ITF42,2022,25.0
ITF42,2023,23.0
ITF43,2014,26.0
ITF43,2015,30.0
ITF43,2016,27.0
ITF43,2017,27.0
ITF43,2018,28.0
ITF43,2019,27.0
ITF43,2020,27.0
ITF43,2021,24.0
ITF43,2022,25.0
ITF43,2023,33.0
ITF44,2013,24.0
ITF44,2014,23.0
ITF44,2015,26.0
ITF44,2016,27.0
ITF44,2017,23.0
ITF44,2018,25.0
ITF44,2019,25.0
ITF44,2020,22.0
ITF44,2021,22.0
ITF44,2022,23.0
ITF44,2023,23.0
ITF45,2015,23.0
ITF45,2016,24.0
ITF45,2017,22.0
ITF45,2018,23.0
ITF45,2019,22.0
ITF45,2020,22.0
ITF45,2021,23.0
ITF45,2022,24.0
ITF45,2023,24.0
ITF5,2013,0.0
ITF5,2014,0.0
ITF5,2015,0.0
ITF5,2016,1.0
ITF5,2017,0.0
ITF5,2018,0.0
ITF5,2019,0.0
