area_code,year,museums_events
1113,2018,1.0
1113,2019,125.0
1113,2019,1.0
1113,2020,125.0
1113,2020,1.0
1114,2011,1.0
1114,2015,1.0
1114,2017,1.0
1114,2018,79.0
1114,2018,1.0
1114,2019,80.0
1114,2019,1.0
1125,2011,2.0
1125,2015,8256.0
1125,2015,3.0
1125,2017,10282.0
1125,2017,3.0
1125,2018,11284.0
1125,2018,3.0
1125,2019,11687.0
1125,2019,3.0
1125,2020,2927.0
1125,2020,2.0
1128,2011,2.0
1128,2015,2.0
1128,2017,1.0
1128,2018,80.0
1128,2018,1.0
1128,2019,50.0
1128,2019,1.0
1128,2020,0.0
1128,2020,1.0
1134,2011,1.0
1134,2015,1.0
1134,2017,1.0
1134,2018,3388.0
1134,2018,1.0
1134,2019,3382.0
1134,2019,1.0
1134,2020,1472.0
1134,2020,1.0
1139,2015,1.0
1139,2017,1.0
1139,2018,150.0
1139,2018,1.0
1139,2019,50.0
1139,2019,1.0
1139,2020,60.0
1139,2020,1.0
1143,2011,1.0
1143,2015,1.0
1143,2017,1.0
1143,2018,800.0
1143,2018,1.0
1145,2011,1.0
1145,2015,1.0
1145,2017,1.0
1145,2018,300.0
1145,2018,1.0
1145,2019,400.0
1145,2019,1.0
1145,2020,0.0
1145,2020,1.0
1154,2011,1.0
1156,2011,1.0
1156,2017,1.0
1156,2018,12737.0
1156,2018,1.0
1156,2020,2581.0
1156,2020,1.0
1157,2019,300.0
1157,2019,1.0
1161,2011,1.0
1162,2011,1.0
1162,2015,1.0
1162,2017,1.0
1162,2018,2091.0
1162,2018,1.0
1162,2019,2731.0
1162,2019,1.0
1162,2020,341.0
1162,2020,1.0
1164,2015,1.0
1164,2017,1.0
1164,2018,128000.0
1164,2018,1.0
1164,2019,98324.0
1164,2019,1.0
1164,2020,33135.0
1164,2020,1.0
1165,2011,1.0
1165,2015,1.0
1165,2017,1.0
1165,2018,818.0
1165,2018,1.0
1165,2019,626.0
1165,2019,1.0
1165,2020,476.0
1165,2020,1.0
1167,2011,1.0
1167,2015,1.0
1167,2017,1.0
1167,2018,1000.0
1167,2018,1.0
1167,2019,1000.0
1167,2019,1.0
1167,2020,0.0
1167,2020,1.0
1169,2011,14300.0
1169,2011,4.0
1169,2015,6050.0
1169,2015,3.0
1169,2017,15062.0
1169,2017,3.0
1169,2018,368.0
1169,2018,1.0
1169,2019,1168.0
1169,2019,2.0
1169,2020,3850.0
1169,2020,2.0
1170,2011,1.0
1181,2011,1.0
1184,2011,2.0
1184,2015,1.0
1184,2017,1.0
1189,2011,1.0
1189,2015,1.0
1189,2017,1.0
1189,2018,1000.0
1189,2018,1.0
1189,2019,500.0
1189,2019,1.0
1189,2020,0.0
1189,2020,1.0
1190,2011,1.0
1190,2015,1.0
1190,2017,1.0
1190,2018,250.0
1190,2018,1.0
1190,2019,1.0
1191,2011,20787.0
1191,2011,7.0
1191,2015,19901.0
1191,2015,5.0
1191,2017,25649.0
1191,2017,7.0
1191,2018,30703.0
1191,2018,8.0
1191,2019,26467.0
1191,2019,8.0
1191,2020,4685.0
1191,2020,7.0
1192,2011,1.0
1192,2015,2.0
1192,2017,2.0
1192,2018,53150.0
1192,2018,2.0
1192,2019,51300.0
1192,2019,2.0
1192,2020,13150.0
1192,2020,2.0
1195,2011,2.0
1195,2015,2.0
